314,46:21.100N,14:20.016E,1472.0,,Krizka G,
315,47:1.223N,15:12.495E,362.0,,Krottend,
316,45:57.417N,15:29.650E,166.0,,KRSKO,
317,45:54.566N,15:29.133E,156.0,,Krsko Mo,
318,47:31.467N,16:11.533E,528.0,,Krumbach,
319,46:17.886N,14:32.048E,1756.0,,Krvavec,
320,46:17.100N,14:29.883E,626.0,,Krvavec,
321,46:17.516N,14:32.783E,1548.0,,Krvavec,
322,46:17.783N,14:31.350E,1496.0,,Krvavec,
323,47:40.999N,15:53.329E,470.0,,Kueb Chp,
324,47:41.050N,15:52.833E,482.0,,Kueb Wes,
325,46:5.166N,15:4.200E,1118.0,,Kum Ante,
326,46:17.533N,15:13.016E,498.0,,Kunigund,
327,46:29.783N,13:53.300E,1794.0,,Kurji V,
328,46:41.983N,12:59.333E,904.0,,Laas Hos,
329,46:30.109N,12:28.703E,900.0,,Laggio-D,
330,47:38.217N,14:46.017E,532.0,,Lainbach,
331,46:51.617N,12:54.050E,850.0,,Langang,
332,46:51.810N,12:53.487E,854.0,,Langang,
333,47:34.633N,15:38.350E,646.0,,Langenwa,
334,47:34.100N,15:37.333E,640.0,,Langenwa,
335,47:46.219N,13:43.258E,444.0,,Langwies,
336,46:9.050N,15:14.150E,218.0,,Lasko Ze,
337,47:44.983N,14:54.083E,672.0,,Lassing,
338,46:38.450N,14:56.466E,344.0,,Lavamuen,
339,47:35.867N,13:57.267E,1954.0,,Lawinens,
340,46:49.867N,15:31.933E,284.0,,Leibnitz,
341,46:48.413N,12:44.938E,700.0,,Leisach,
342,46:19.216N,15:14.800E,330.0,,Lemberg,
343,46:34.283N,15:49.583E,234.0,,Lenart,
344,47:17.883N,13:3.250E,636.0,,Lend Gar,
345,46:49.925N,13:25.015E,560.0,,Lendorf,
346,47:22.275N,12:32.212E,1148.0,,Lengau C,
347,47:22.217N,15:5.333E,550.0,,Leoben G,
348,47:29.667N,14:38.100E,1892.0,,Leobner,
349,47:34.375N,14:50.988E,642.0,,Leopolds,
350,46:30.733N,13:51.883E,1892.0,,Lepi Vrh,
351,46:37.425N,14:57.294E,428.0,,Libelice,
352,46:37.250N,14:56.783E,452.0,,Libelice,
353,45:57.183N,12:49.133E,34.0,,LIDK,
354,45:42.000N,12:32.583E,2.0,,LIDW,
355,46:58.802N,15:18.833E,336.0,,Lieboch,
356,46:49.683N,12:46.283E,674.0,,Lienz Ga,
357,46:48.717N,12:47.917E,784.0,,Lienz S,
358,46:48.083N,12:45.017E,734.0,,Lienz1,
359,46:48.783N,12:45.217E,690.0,,Lienz2,
360,47:33.668N,14:13.735E,634.0,,Liezen C,
361,47:33.800N,14:14.467E,642.0,,Liezen G,
362,47:34.117N,14:14.567E,668.0,,Liezen K,
363,45:36.716N,12:48.883E,0.0,,LIKE,
364,47:11.800N,12:43.133E,1616.0,,Limbergs,
365,46:4.080N,15:17.098E,936.0,,LISCA,
366,46:3.517N,14:49.433E,250.0,,Litija,
367,45:44.200N,12:42.333E,0.0,,Livenza,
368,45:37.079N,14:53.417E,462.0,,Livold C,
369,46:26.433N,14:15.166E,1368.0,,Ljubelj,
370,46:2.933N,14:30.531E,376.0,,Ljubljan,
371,46:15.495N,15:35.023E,254.0,,Loce Ad,
372,46:24.100N,14:38.500E,1054.0,,Logarska,
373,45:55.050N,14:13.817E,478.0,,Logatec,
374,47:19.750N,16:4.667E,364.0,,Loipersd,
375,47:39.767N,13:46.667E,1820.0,,Loser Tv,
376,47:42.667N,15:38.217E,1760.0,,Lurgbaue,
377,47:4.105N,13:47.893E,1002.0,,Madling,
378,46:58.883N,13:10.617E,1182.0,,Mallnitz,
379,46:57.267N,13:30.433E,840.0,,Malta Ki,
380,47:24.250N,13:34.483E,812.0,,Mandling,
381,46:6.100N,12:44.667E,196.0,,Maniago,
382,47:46.367N,15:19.117E,878.0,,Mariazel,
383,46:33.183N,15:38.517E,280.0,,Maribor,
384,46:30.950N,15:34.750E,1048.0,,Maribor,
385,46:28.909N,13:50.950E,740.0,,Martulje,
386,47:25.233N,13:3.717E,2884.0,,Matrasha,
387,46:59.117N,12:32.767E,928.0,,Matrei W,
388,46:59.336N,12:32.472E,930.0,,Matrei-O,
389,47:24.017N,14:49.550E,720.0,,Mautern,
390,47:8.083N,13:41.217E,1114.0,,Mauternd,
391,46:38.450N,12:57.717E,986.0,,Mauthen,
392,46:39.083N,12:57.700E,1476.0,,Mauthner,
393,46:13.833N,14:50.500E,860.0,,Meninacg,
394,45:37.416N,15:18.200E,130.0,,Metlika,
395,46:36.658N,13:23.265E,574.0,,Micheldo,
396,45:53.383N,15:39.067E,140.0,,Mihalo D,
397,47:33.169N,13:57.100E,832.0,,Mitternd,
398,47:17.050N,12:28.850E,790.0,,Mittersi,
399,47:16.667N,12:28.833E,790.0,,Mittersi,
400,47:17.233N,12:30.180E,782.0,,Mittersi,
401,46:36.694N,13:21.241E,580.0,,Moedernd,
402,47:30.700N,16:2.167E,976.0,,Moenichk,
403,46:55.450N,12:54.500E,944.0,,Moertsch,
404,46:27.750N,13:56.333E,652.0,,Mojstran,
405,46:27.959N,13:55.234E,666.0,,Mojstran,
406,45:56.533N,15:8.550E,260.0,,Mokronog,
407,46:9.917N,12:40.000E,276.0,,Monterea,
408,47:38.875N,14:46.035E,530.0,,Moosland,
409,45:56.700N,13:12.500E,36.0,,Mortegli,
410,46:19.167N,14:56.733E,346.0,,Mozirje,
411,46:20.233N,14:57.950E,332.0,,Mozirje,
412,45:40.280N,14:49.994E,470.0,,Mrtvice,
413,47:40.533N,15:29.533E,784.0,,Muerzste,
414,47:35.980N,15:40.939E,780.0,,Muerzzus,
415,47:35.617N,15:41.167E,820.0,,Muerzzus,
416,47:36.417N,15:40.150E,666.0,,Muerzzus,
417,47:21.500N,15:11.250E,1608.0,,Mugel Tv,
418,47:5.883N,13:29.917E,1120.0,,Muhr Unt,
419,47:6.461N,14:11.125E,798.0,,Murau Ch,
420,47:6.983N,14:13.271E,778.0,,Murau Os,
421,47:6.717N,14:10.150E,856.0,,Murau Sc,
422,46:34.405N,16:11.522E,178.0,,Murska S,
423,46:39.367N,16:9.850E,192.0,,Murskaso,
424,45:46.368N,14:3.238E,1250.0,,NANOS,
425,45:46.183N,14:3.116E,1140.0,,Nanos Tv,
426,46:33.617N,13:16.533E,1532.0,,Nassfeld,
427,47:44.217N,15:39.700E,744.0,,Nasswald,
428,46:18.256N,14:54.371E,376.0,,Nazarje,
429,47:39.527N,15:35.803E,718.0,,Neuberg,
